Erm/Sci,Scm/Po,conf,strain
39.76,0.2,90,0.126
39.76,0.2,80,0.26
39.76,0.2,70,0.38
39.76,0.2,60,0.5
39.76,0.2,50,0.64
39.76,0.2,40,0.84
39.76,0.2,30,1.16
39.76,0.2,20,1.72
39.76,0.2,10,3
39.76,0.2,0,11.4
39.76,0.3,100,0
39.76,0.3,90,0.084
39.76,0.3,80,0.166
39.76,0.3,70,0.26
39.76,0.3,60,0.34
39.76,0.3,50,0.42
39.76,0.3,40,0.52
39.76,0.3,30,0.68
39.76,0.3,20,0.94
39.76,0.3,10,1.42
39.76,0.3,0,5
39.76,0.4,100,0
39.76,0.4,90,0.0622
39.76,0.4,80,0.1244
39.76,0.4,70,0.1866
39.76,0.4,60,0.248
39.76,0.4,50,0.31
39.76,0.4,40,0.374
39.76,0.4,30,0.468
39.76,0.4,20,0.618
39.76,0.4,10,0.892
39.76,0.4,0,2.88
39.76,0.5,100,0
39.76,0.5,90,0.05
39.76,0.5,80,0.1
39.76,0.5,70,0.15
39.76,0.5,60,0.2
39.76,0.5,50,0.26
39.76,0.5,40,0.3
39.76,0.5,30,0.36
39.76,0.5,20,0.46
39.76,0.5,10,0.64
39.76,0.5,0,1.94
28.11,0.1,100,0
28.11,0.1,90,0.36
28.11,0.1,80,0.72
28.11,0.1,70,1.06
28.11,0.1,60,1.46
28.11,0.1,50,2.2
28.11,0.1,40,3.2
28.11,0.1,30,5
28.11,0.1,20,8.2
28.11,0.1,10,15.4
28.11,0.1,0,54
28.11,0.2,100,0
28.11,0.2,90,0.176
28.11,0.2,80,0.36
28.11,0.2,70,0.54
28.11,0.2,60,0.72
28.11,0.2,50,0.9
28.11,0.2,40,1.18
28.11,0.2,30,1.64
28.11,0.2,20,2.6
28.11,0.2,10,4
28.11,0.2,0,13
28.11,0.3,100,0
28.11,0.3,90,0.118
28.11,0.3,80,0.24
28.11,0.3,70,0.36
28.11,0.3,60,0.48
28.11,0.3,50,0.6
28.11,0.3,40,0.74
28.11,0.3,30,0.96
28.11,0.3,20,1.32
28.11,0.3,10,2
28.11,0.3,0,5.4
28.11,0.4,100,0
28.11,0.4,90,0.088
28.11,0.4,80,0.1758
28.11,0.4,70,0.264
28.11,0.4,60,0.352
28.11,0.4,50,0.44
28.11,0.4,40,0.53
28.11,0.4,30,0.66
28.11,0.4,20,0.874
28.11,0.4,10,1.262
28.11,0.4,0,3.06
28.11,0.5,100,0
28.11,0.5,90,0.072
28.11,0.5,80,0.142
28.11,0.5,70,0.22
28.11,0.5,60,0.3
28.11,0.5,50,0.36
28.11,0.5,40,0.44
28.11,0.5,30,0.52
28.11,0.5,20,0.66
28.11,0.5,10,0.92
28.11,0.5,0,2.6
22.95,0.1,100,0
22.95,0.1,90,0.44
22.95,0.1,80,0.88
22.95,0.1,70,1.3
22.95,0.1,60,1.78
22.95,0.1,50,2.6
22.95,0.1,40,3.8
22.95,0.1,30,6
22.95,0.1,20,10
22.95,0.1,10,18.8
22.95,0.1,0,64
22.95,0.2,100,0
22.95,0.2,90,0.22
22.95,0.2,80,0.44
22.95,0.2,70,0.66
22.95,0.2,60,0.88
22.95,0.2,50,1.1
22.95,0.2,40,1.46
22.95,0.2,30,2.2
22.95,0.2,20,3
22.95,0.2,10,5
22.95,0.2,0,14.8
22.95,0.3,100,0
22.95,0.3,90,0.144
22.95,0.3,80,0.3
22.95,0.3,70,0.44
22.95,0.3,60,0.58
22.95,0.3,50,0.72
22.95,0.3,40,0.9
22.95,0.3,30,1.16
22.95,0.3,20,1.6
22.95,0.3,10,2.6
22.95,0.3,0,7
22.95,0.4,100,0
22.95,0.4,90,0.108
22.95,0.4,80,0.22
22.95,0.4,70,0.34
22.95,0.4,60,0.44
22.95,0.4,50,0.54
22.95,0.4,40,0.66
22.95,0.4,30,0.82
22.95,0.4,20,1.08
22.95,0.4,10,1.56
22.95,0.4,0,3.8
22.95,0.5,100,0
22.95,0.5,90,0.088
22.95,0.5,80,0.174
22.95,0.5,70,0.26
22.95,0.5,60,0.36
22.95,0.5,50,0.44
22.95,0.5,40,0.52
22.95,0.5,30,0.64
22.95,0.5,20,0.8
22.95,0.5,10,1.12
22.95,0.5,0,2.8
125.75,0.1,100,0
125.75,0.1,90,0.136
125.75,0.1,80,0.28
125.75,0.1,70,0.42
125.75,0.1,60,0.56
125.75,0.1,50,0.76
125.75,0.1,40,1.1
125.75,0.1,30,1.68
125.75,0.1,20,2.8
125.75,0.1,10,5
125.75,0.1,0,16.6
125.75,0.2,100,0
125.75,0.2,90,0.068
125.75,0.2,80,0.136
125.75,0.2,70,0.22
125.75,0.2,60,0.28
125.75,0.2,50,0.34
125.75,0.2,40,0.44
125.75,0.2,30,0.6
125.75,0.2,20,0.86
125.75,0.2,10,1.34
125.75,0.2,0,3.8
125.75,0.3,100,0
125.75,0.3,90,0.046
125.75,0.3,80,0.092
125.75,0.3,70,0.136
125.75,0.3,60,0.182
125.75,0.3,50,0.24
125.75,0.3,40,0.28
125.75,0.3,30,0.36
125.75,0.3,20,0.48
125.75,0.3,10,0.7
125.75,0.3,0,1.6
125.75,0.4,100,0
125.75,0.4,90,0.034
125.75,0.4,80,0.068
125.75,0.4,70,0.102
125.75,0.4,60,0.136
125.75,0.4,50,0.17
125.75,0.4,40,0.22
125.75,0.4,30,0.26
125.75,0.4,20,0.32
125.75,0.4,10,0.46
125.75,0.4,0,0.94
125.75,0.5,100,0
125.75,0.5,90,0.028
125.75,0.5,80,0.056
125.75,0.5,70,0.082
125.75,0.5,60,0.11
125.75,0.5,50,0.136
125.75,0.5,40,0.164
125.75,0.5,30,0.192
125.75,0.5,20,0.24
125.75,0.5,10,0.34
125.75,0.5,0,0.64
88.91,0.1,100,0
88.91,0.1,90,0.192
88.91,0.1,80,0.4
88.91,0.1,70,0.58
88.91,0.1,60,0.78
88.91,0.1,50,1.06
88.91,0.1,40,1.54
88.91,0.1,30,2.4
88.91,0.1,20,3.8
88.91,0.1,10,7
88.91,0.1,0,24
88.91,0.2,100,0
88.91,0.2,90,0.096
88.91,0.2,80,0.192
88.91,0.2,70,0.3
88.91,0.2,60,0.4
88.91,0.2,50,0.48
88.91,0.2,40,0.62
88.91,0.2,30,0.84
88.91,0.2,20,1.2
88.91,0.2,10,1.9
88.91,0.2,0,5
88.91,0.3,100,0
88.91,0.3,90,0.064
88.91,0.3,80,0.128
88.91,0.3,70,0.192
88.91,0.3,60,0.26
88.91,0.3,50,0.32
88.91,0.3,40,0.4
88.91,0.3,30,0.5
88.91,0.3,20,0.68
88.91,0.3,10,0.98
88.91,0.3,0,2.4
88.91,0.4,100,0
88.91,0.4,90,0.048
88.91,0.4,80,0.096
88.91,0.4,70,0.144
88.91,0.4,60,0.192
88.91,0.4,50,0.24
88.91,0.4,40,0.3
88.91,0.4,30,0.36
88.91,0.4,20,0.46
88.91,0.4,10,0.64
88.91,0.4,0,1.34
88.91,0.5,100,0
88.91,0.5,90,0.04
88.91,0.5,80,0.078
88.91,0.5,70,0.116
88.91,0.5,60,0.154
88.91,0.5,50,0.192
88.91,0.5,40,0.24
88.91,0.5,30,0.28
88.91,0.5,20,0.34
88.91,0.5,10,0.46
88.91,0.5,0,0.9
72.59,0.1,100,0
72.59,0.1,90,0.24
72.59,0.1,80,0.48
72.59,0.1,70,0.72
72.59,0.1,60,0.96
72.59,0.1,50,1.32
72.59,0.1,40,1.9
72.59,0.1,30,3
72.59,0.1,20,4.8
72.59,0.1,10,8.6
72.59,0.1,0,28
72.59,0.2,100,0
72.59,0.2,90,0.118
72.59,0.2,80,0.24
72.59,0.2,70,0.36
72.59,0.2,60,0.48
72.59,0.2,50,0.6
72.59,0.2,40,0.76
72.59,0.2,30,1.02
72.59,0.2,20,1.46
72.59,0.2,10,2.4
72.59,0.2,0,6.6
72.59,0.3,100,0
72.59,0.3,90,0.08
72.59,0.3,80,0.158
72.59,0.3,70,0.24
72.59,0.3,60,0.32
72.59,0.3,50,0.4
72.59,0.3,40,0.48
72.59,0.3,30,0.6
72.59,0.3,20,0.82
72.59,0.3,10,1.2
72.59,0.3,0,2.8
72.59,0.4,100,0
72.59,0.4,90,0.06
72.59,0.4,80,0.118
72.59,0.4,70,0.176
72.59,0.4,60,0.24
72.59,0.4,50,0.3
72.59,0.4,40,0.36
72.59,0.4,30,0.44
72.59,0.4,20,0.56
72.59,0.4,10,0.78
72.59,0.4,0,1.64
72.59,0.5,100,0
72.59,0.5,90,0.048
72.59,0.5,80,0.094
72.59,0.5,70,0.142
72.59,0.5,60,0.188
72.59,0.5,50,0.24
72.59,0.5,40,0.3
72.59,0.5,30,0.34
72.59,0.5,20,0.42
72.59,0.5,10,0.58
72.59,0.5,0,1.08
281.17,0.1,100,0
281.17,0.1,90,0.096
281.17,0.1,80,0.19
281.17,0.1,70,0.3
281.17,0.1,60,0.38
281.17,0.1,50,0.5
281.17,0.1,40,0.7
281.17,0.1,30,1
281.17,0.1,20,1.54
281.17,0.1,10,2.8
281.17,0.1,0,7.6
281.17,0.2,100,0
281.17,0.2,90,0.048
281.17,0.2,80,0.096
281.17,0.2,70,0.142
281.17,0.2,60,0.19
281.17,0.2,50,0.24
281.17,0.2,40,0.3
281.17,0.2,30,0.38
281.17,0.2,20,0.52
281.17,0.2,10,0.78
281.17,0.2,0,1.76
281.17,0.3,100,0
281.17,0.3,90,0.032
281.17,0.3,80,0.064
281.17,0.3,70,0.096
281.17,0.3,60,0.128
281.17,0.3,50,0.158
281.17,0.3,40,0.19
281.17,0.3,30,0.24
281.17,0.3,20,0.3
281.17,0.3,10,0.42
281.17,0.3,0,0.82
281.17,0.4,100,0
281.17,0.4,90,0.024
281.17,0.4,80,0.048
281.17,0.4,70,0.072
281.17,0.4,60,0.096
281.17,0.4,50,0.12
281.17,0.4,40,0.142
281.17,0.4,30,0.168
281.17,0.4,20,0.22
281.17,0.4,10,0.28
281.17,0.4,0,0.5
281.17,0.5,100,0
281.17,0.5,90,0.019
281.17,0.5,80,0.038
281.17,0.5,70,0.058
281.17,0.5,60,0.076
281.17,0.5,50,0.096
281.17,0.5,40,0.114
281.17,0.5,30,0.134
281.17,0.5,20,0.16
281.17,0.5,10,0.22
281.17,0.5,0,0.34
229.58,0.1,100,0
229.58,0.1,90,0.116
229.58,0.1,80,0.24
229.58,0.1,70,0.36
229.58,0.1,60,0.48
229.58,0.1,50,0.62
229.58,0.1,40,0.84
229.58,0.1,30,1.22
229.58,0.1,20,1.88
229.58,0.1,10,3.4
229.58,0.1,0,9.4
229.58,0.2,100,0
229.58,0.2,90,0.058
229.58,0.2,80,0.116
229.58,0.2,70,0.174
229.58,0.2,60,0.24
229.58,0.2,50,0.3
229.58,0.2,40,0.36
229.58,0.2,30,0.46
229.58,0.2,20,0.64
229.58,0.2,10,0.96
229.58,0.2,0,2.2
229.58,0.3,100,0
229.58,0.3,90,0.04
229.58,0.3,80,0.078
229.58,0.3,70,0.116
229.58,0.3,60,0.156
229.58,0.3,50,0.194
229.58,0.3,40,0.24
229.58,0.3,30,0.3
229.58,0.3,20,0.38
229.58,0.3,10,0.52
229.58,0.3,0,1
229.58,0.4,100,0
229.58,0.4,90,0.03
229.58,0.4,80,0.058
229.58,0.4,70,0.088
229.58,0.4,60,0.116
229.58,0.4,50,0.146
229.58,0.4,40,0.174
229.58,0.4,30,0.22
229.58,0.4,20,0.26
229.58,0.4,10,0.34
229.58,0.4,0,0.6
229.58,0.5,100,0
229.58,0.5,90,0.024
229.58,0.5,80,0.048
229.58,0.5,70,0.07
229.58,0.5,60,0.094
229.58,0.5,50,0.116
229.58,0.5,40,0.14
229.58,0.5,30,0.164
229.58,0.5,20,0.196
229.58,0.5,10,0.26
229.58,0.5,0,0.42